Relative_Compactness,Surface_Area,Wall_Area,Roof_Area,Overall_Height,Orientation,Glazing_Area,Glazing_Area_Distribution,Heating_Load,Cooling_Load
0.66,759.5,318.5,220.5,3.5,5,0.4,5,11.401,15.5
0.62,808.5,367.5,220.5,3.5,2,0.25,2,36.256,16.67
0.69,735.0,294.0,220.5,3.5,4,0.4,3,12.974,16.94
0.74,686.0,245.0,220.5,3.5,5,0.4,4,10.405,16.08
0.74,514.5,294.0,110.25,3.5,4,0.4,4,10.266,15.66
0.9,563.5,318.5,122.5,7.0,3,0.1,2,36.488,34.13
0.71,759.5,269.5,220.5,3.5,4,0.4,4,12.2,13.77
0.76,661.5,416.5,122.5,7.0,4,0.1,4,37.148,38.98
0.86,588.0,294.0,147.0,7.0,3,0.1,4,25.206,25.08
0.62,808.5,367.5,220.5,3.5,2,0.4,3,11.166,14.02
0.82,612.5,318.5,147.0,7.0,3,0.4,4,25.346,36.34
0.62,808.5,367.5,220.5,3.5,5,0.1,2,14.172,16.93
0.74,686.0,245.0,220.5,3.5,5,0.4,3,14.493,16.99
0.86,588.0,294.0,147.0,7.0,4,0.0,0,31.984,28.58
0.64,784.0,343.0,220.5,3.5,5,0.25,0,15.365,21.78
0.79,637.0,343.0,147.0,7.0,3,0.1,2,36.874,42.59
0.74,686.0,245.0,220.5,3.5,4,0.25,1,14.17,15.92
0.86,588.0,294.0,147.0,7.0,5,0.4,2,27.201,33.9
0.71,710.5,269.5,220.5,3.5,4,0.1,2,9.558,16.0
0.62,808.5,367.5,220.5,3.5,2,0.1,2,7.42,14.02
0.69,735.0,294.0,220.5,3.5,4,0.1,5,14.106,14.29
0.69,735.0,294.0,220.5,3.5,2,0.25,5,32.229,20.66
0.82,612.5,318.5,147.0,7.0,3,0.4,3,29.793,24.75
0.79,637.0,343.0,147.0,7.0,5,0.25,4,38.43,42.04
0.76,661.5,416.5,122.5,7.0,4,0.1,1,33.232,34.06
0.86,588.0,294.0,147.0,7.0,2,0.1,2,29.248,29.7
0.86,588.0,294.0,147.0,7.0,5,0.4,4,26.184,30.66
0.71,710.5,269.5,220.5,3.5,2,0.4,3,10.745,13.83
0.69,735.0,294.0,220.5,3.5,5,0.1,4,12.965,17.31
0.82,612.5,318.5,147.0,7.0,4,0.25,2,36.041,34.72
0.86,588.0,294.0,147.0,7.0,3,0.25,1,29.4,34.87
0.71,710.5,269.5,220.5,3.5,5,0.1,5,19.23,15.39
0.76,661.5,416.5,122.5,7.0,3,0.1,1,36.106,36.59
0.69,735.0,294.0,220.5,3.5,3,0.4,4,12.969,13.65
0.71,710.5,269.5,220.5,3.5,4,0.0,4,10.694,14.2
0.66,759.5,318.5,220.5,3.5,3,0.1,4,12.812,15.83
0.82,784.0,343.0,220.5,3.5,5,0.4,4,11.35,20.19
0.9,563.5,318.5,122.5,7.0,5,0.25,4,19.918,31.53
0.71,710.5,269.5,220.5,3.5,5,0.1,1,14.047,11.9
0.62,808.5,367.5,220.5,3.5,5,0.25,3,15.168,13.98
0.62,808.5,367.5,220.5,3.5,3,0.1,1,13.274,16.52
0.66,759.5,318.5,220.5,3.5,5,0.4,3,15.202,16.09
0.69,735.0,294.0,220.5,3.5,5,0.1,2,11.15,14.27
0.9,563.5,318.5,122.5,7.0,4,0.25,3,32.242,35.87
0.82,612.5,318.5,147.0,7.0,5,0.1,2,22.651,28.63
0.86,588.0,294.0,147.0,7.0,2,0.4,5,29.515,29.69
0.69,735.0,294.0,220.5,3.5,2,0.25,1,12.992,16.9
0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.464,19.27
0.64,784.0,343.0,220.5,3.5,3,0.1,2,18.465,20.94
0.62,808.5,367.5,220.5,3.5,4,0.25,3,12.898,16.71
0.71,710.5,269.5,220.5,3.5,3,0.1,1,12.622,14.26
0.98,514.5,294.0,110.25,7.0,5,0.25,5,28.815,29.55
0.79,637.0,343.0,147.0,7.0,2,0.1,5,32.414,44.06
0.74,686.0,245.0,220.5,3.5,5,0.25,2,12.194,16.9
0.9,563.5,318.5,122.5,7.0,3,0.4,4,35.624,33.93
0.62,808.5,367.5,220.5,3.5,2,0.1,1,14.378,16.56
0.74,686.0,318.5,220.5,3.5,2,0.0,0,12.639,11.98
0.76,661.5,416.5,122.5,7.0,3,0.25,5,34.076,36.96
0.64,784.0,343.0,220.5,3.5,2,0.1,2,16.887,20.7
0.79,637.0,343.0,147.0,7.0,4,0.1,3,41.029,41.72
0.82,612.5,318.5,147.0,7.0,5,0.25,4,28.647,34.3
0.98,514.5,294.0,110.25,7.0,3,0.1,3,32.53,25.89
0.71,710.5,269.5,220.5,3.5,2,0.4,4,10.694,16.89
0.71,710.5,269.5,220.5,3.5,2,0.4,2,10.815,13.81
0.86,588.0,294.0,147.0,7.0,4,0.4,5,26.396,32.19
0.69,735.0,294.0,220.5,3.5,4,0.4,5,11.213,15.73
0.76,612.5,416.5,147.0,7.0,2,0.1,1,23.522,26.92
0.9,563.5,318.5,122.5,7.0,5,0.4,5,32.202,32.79
0.86,588.0,294.0,147.0,7.0,5,0.4,1,25.57,31.66
0.98,514.5,294.0,110.25,7.0,5,0.1,5,28.621,26.04
0.71,710.5,269.5,220.5,3.5,3,0.4,4,10.6,13.71
0.62,808.5,367.5,220.5,3.5,2,0.1,4,17.13,14.35
0.76,661.5,416.5,122.5,7.0,3,0.25,1,36.123,24.86
0.98,514.5,294.0,110.25,7.0,2,0.25,1,24.51,21.66
0.69,735.0,294.0,220.5,3.5,2,0.25,4,14.361,15.0
0.66,759.5,318.5,220.5,3.5,3,0.25,1,15.319,14.74
0.76,661.5,416.5,122.5,7.0,5,0.25,5,36.601,36.35
0.74,686.0,245.0,220.5,3.5,5,0.4,2,14.52,17.02
0.82,612.5,318.5,147.0,7.0,2,0.1,3,29.576,26.11
0.82,612.5,318.5,147.0,7.0,2,0.4,1,23.432,24.64
0.76,661.5,416.5,122.5,7.0,3,0.0,0,28.898,35.37
0.86,588.0,294.0,147.0,7.0,2,0.4,2,31.9,38.84
0.64,784.0,343.0,220.5,3.5,5,0.1,2,17.789,19.95
0.71,710.5,269.5,220.5,3.5,5,0.4,4,13.974,17.45
0.66,759.5,318.5,220.5,3.5,3,0.1,2,14.892,16.12
0.86,735.0,294.0,220.5,7.0,2,0.25,1,12.785,15.84
0.86,588.0,294.0,147.0,7.0,2,0.4,4,32.363,30.77
0.76,661.5,416.5,122.5,7.0,5,0.4,5,40.579,33.76
0.64,784.0,343.0,220.5,3.5,4,0.25,4,18.191,19.58
0.64,514.5,343.0,220.5,3.5,5,0.4,2,16.729,20.71
0.69,735.0,294.0,220.5,3.5,2,0.1,1,11.12,15.17
0.86,588.0,294.0,147.0,7.0,2,0.4,1,26.181,35.54
0.69,735.0,294.0,220.5,3.5,4,0.1,5,11.02,15.52
0.86,588.0,294.0,147.0,7.0,3,0.4,2,32.193,30.14
0.69,735.0,294.0,220.5,3.5,4,0.25,1,11.509,14.82
0.69,735.0,294.0,220.5,3.5,2,0.25,4,12.665,15.04
0.79,637.0,343.0,147.0,7.0,5,0.25,2,36.75,45.18
0.76,661.5,416.5,122.5,7.0,2,0.1,4,35.801,34.43
0.82,612.5,318.5,147.0,7.0,2,0.1,3,28.657,31.37
0.71,710.5,269.5,220.5,3.5,5,0.4,3,10.702,14.74
0.82,612.5,318.5,147.0,7.0,3,0.25,5,31.791,27.85
0.98,514.5,294.0,110.25,7.0,4,0.25,4,28.642,32.82
0.98,514.5,294.0,110.25,7.0,5,0.25,4,28.485,30.07
0.98,514.5,294.0,110.25,7.0,5,0.4,1,28.332,34.05
0.98,514.5,294.0,110.25,7.0,4,0.4,3,23.925,34.13
0.76,661.5,416.5,122.5,7.0,4,0.25,5,23.798,39.78
0.82,612.5,245.0,147.0,7.0,4,0.1,4,10.201,33.88
0.74,686.0,245.0,220.5,3.5,4,0.25,3,14.397,11.95
0.98,514.5,294.0,110.25,7.0,5,0.25,1,24.274,26.58
0.71,710.5,269.5,220.5,3.5,5,0.4,4,10.818,17.11
0.71,710.5,269.5,220.5,3.5,5,0.25,5,14.717,17.37
0.69,735.0,294.0,220.5,3.5,5,0.4,2,12.627,16.8
0.76,661.5,416.5,122.5,7.0,4,0.1,5,33.15,33.9
0.98,514.5,294.0,110.25,7.0,3,0.1,4,32.713,21.52
0.71,710.5,269.5,220.5,3.5,2,0.4,1,14.512,17.1
0.9,563.5,318.5,122.5,7.0,2,0.1,1,33.249,31.88
0.66,759.5,318.5,220.5,3.5,3,0.25,2,12.945,13.59
0.64,784.0,343.0,220.5,3.5,4,0.25,5,18.155,20.31
0.64,784.0,343.0,220.5,3.5,3,0.1,5,10.703,14.89
0.74,686.0,245.0,220.5,3.5,2,0.25,2,11.57,15.03
0.9,563.5,318.5,122.5,7.0,4,0.1,1,35.767,34.02
0.74,686.0,245.0,220.5,3.5,5,0.1,5,14.482,16.94
0.82,612.5,318.5,147.0,7.0,3,0.1,2,23.903,27.56
0.71,710.5,269.5,220.5,3.5,2,0.25,2,10.719,15.21
0.9,563.5,318.5,122.5,7.0,2,0.4,4,32.792,33.66
0.74,686.0,245.0,220.5,3.5,5,0.25,5,14.524,14.62
0.64,784.0,343.0,220.5,3.5,3,0.25,3,15.211,18.9
0.64,784.0,343.0,220.5,3.5,4,0.25,3,16.72,19.83
0.82,612.5,318.5,147.0,7.0,4,0.25,3,23.256,25.82
0.86,588.0,294.0,147.0,7.0,2,0.25,2,31.629,30.13
0.64,784.0,343.0,220.5,3.5,3,0.25,2,17.504,19.61
0.69,735.0,294.0,220.5,3.5,4,0.4,1,10.397,13.3
0.69,735.0,294.0,220.5,3.5,4,0.25,4,14.61,16.8
0.69,735.0,294.0,220.5,3.5,2,0.4,4,14.523,15.39
0.64,784.0,343.0,220.5,3.5,2,0.25,3,12.647,20.31
0.64,784.0,343.0,220.5,3.5,3,0.25,2,15.192,20.27
0.74,686.0,245.0,220.5,3.5,3,0.25,5,14.317,15.18
0.76,661.5,416.5,122.5,7.0,3,0.4,5,33.133,33.89
0.9,563.5,318.5,122.5,7.0,3,0.1,4,36.234,25.11
0.82,710.5,318.5,147.0,7.0,4,0.1,5,32.478,34.98
0.71,710.5,269.5,220.5,3.5,4,0.25,1,10.77,17.3
0.79,637.0,343.0,147.0,7.0,5,0.1,2,36.896,43.91
0.62,808.5,367.5,220.5,3.5,4,0.0,0,9.63,12.13
0.74,710.5,269.5,220.5,3.5,3,0.0,0,6.459,11.76
0.76,735.0,416.5,122.5,7.0,3,0.25,3,33.044,33.66
0.66,759.5,318.5,220.5,3.5,2,0.25,5,12.819,16.29
0.82,661.5,416.5,122.5,7.0,5,0.1,5,10.574,34.29
0.79,588.0,343.0,147.0,7.0,2,0.1,3,40.365,29.25
0.74,686.0,245.0,220.5,3.5,3,0.25,3,14.145,14.8
0.66,759.5,318.5,220.5,3.5,3,0.4,3,15.332,18.15
0.79,637.0,343.0,147.0,7.0,2,0.25,2,34.613,45.86
0.74,686.0,245.0,220.5,3.5,2,0.4,2,14.686,13.38
0.79,637.0,343.0,147.0,7.0,5,0.4,4,41.222,44.3
0.69,735.0,294.0,220.5,3.5,4,0.4,1,11.577,15.11
0.9,563.5,318.5,122.5,7.0,2,0.1,3,33.559,29.87
0.62,808.5,367.5,220.5,3.5,5,0.1,1,9.398,13.63
0.86,588.0,294.0,147.0,7.0,4,0.0,0,26.633,28.54
0.79,637.0,343.0,147.0,7.0,3,0.25,3,36.974,35.21
0.98,686.0,245.0,110.25,7.0,4,0.1,4,32.735,33.96
0.69,735.0,294.0,220.5,3.5,4,0.4,3,14.245,16.4
0.66,759.5,318.5,220.5,3.5,5,0.25,1,15.161,15.17
0.66,759.5,318.5,220.5,3.5,5,0.1,2,9.79,12.87
0.64,784.0,343.0,220.5,3.5,2,0.1,3,15.185,19.24
0.62,808.5,367.5,220.5,3.5,2,0.4,2,16.653,14.17
0.86,808.5,367.5,220.5,3.5,5,0.1,5,16.729,16.8
0.98,514.5,294.0,110.25,7.0,5,0.25,4,24.297,21.37
0.79,637.0,343.0,147.0,7.0,4,0.1,5,37.394,44.3
0.79,637.0,343.0,147.0,7.0,5,0.1,3,42.351,34.58
0.66,759.5,318.5,220.5,3.5,2,0.4,1,11.668,15.16
0.82,661.5,416.5,122.5,7.0,4,0.1,5,40.727,37.49
0.71,710.5,269.5,220.5,3.5,3,0.25,4,10.727,17.55
0.98,686.0,245.0,110.25,7.0,5,0.4,4,32.932,32.91
0.9,563.5,318.5,122.5,7.0,3,0.4,5,32.586,29.4
0.71,710.5,269.5,220.5,3.5,4,0.25,3,10.462,17.63
0.76,661.5,416.5,122.5,7.0,3,0.1,5,35.411,34.26
0.86,686.0,245.0,220.5,3.5,2,0.1,3,10.375,16.96
0.82,612.5,318.5,147.0,7.0,4,0.0,0,36.574,29.07
0.76,661.5,416.5,122.5,7.0,3,0.1,4,35.967,29.87
0.69,735.0,294.0,220.5,3.5,5,0.1,4,11.204,16.87
0.64,784.0,343.0,220.5,3.5,3,0.25,1,13.03,18.9
0.79,661.5,343.0,220.5,3.5,3,0.4,3,17.054,20.82
0.62,808.5,367.5,220.5,3.5,4,0.1,5,12.955,14.54
0.69,735.0,294.0,220.5,3.5,5,0.25,2,12.105,18.66
0.74,686.0,245.0,220.5,3.5,4,0.1,1,10.182,14.46
0.82,612.5,318.5,147.0,7.0,4,0.4,4,23.227,29.11
0.76,661.5,416.5,122.5,7.0,5,0.1,1,36.515,35.26
0.82,612.5,318.5,147.0,7.0,5,0.4,1,29.173,35.15
0.62,808.5,367.5,220.5,3.5,2,0.25,3,12.334,14.89
0.9,514.5,318.5,122.5,7.0,3,0.25,5,32.722,37.16
0.71,710.5,269.5,220.5,3.5,4,0.4,2,12.116,17.47
0.66,759.5,318.5,220.5,3.5,2,0.4,3,14.785,16.16
0.98,514.5,294.0,110.25,7.0,3,0.4,4,24.288,26.4
0.74,686.0,245.0,220.5,3.5,2,0.4,2,14.263,16.94
0.66,759.5,318.5,220.5,3.5,5,0.1,3,11.678,14.73
0.71,710.5,269.5,220.5,3.5,4,0.4,3,14.397,17.23
0.98,514.5,294.0,110.25,7.0,2,0.4,2,28.653,30.43
0.79,637.0,343.0,147.0,7.0,3,0.25,2,41.634,44.14
0.76,661.5,416.5,122.5,7.0,4,0.1,2,39.511,44.18
0.66,759.5,318.5,220.5,3.5,2,0.4,3,15.222,16.38
0.86,588.0,294.0,147.0,7.0,5,0.25,1,26.573,44.33
0.69,735.0,294.0,220.5,3.5,4,0.25,4,12.331,15.18
0.9,563.5,318.5,122.5,7.0,4,0.25,3,33.79,32.37
0.82,612.5,318.5,147.0,7.0,5,0.1,2,25.389,28.57
0.69,735.0,294.0,220.5,3.5,3,0.25,3,14.725,17.21
0.86,588.0,294.0,147.0,7.0,2,0.25,2,31.908,31.88
0.86,784.0,294.0,220.5,3.5,3,0.4,2,10.737,14.84
0.69,735.0,294.0,220.5,3.5,4,0.25,1,14.459,15.56
0.98,514.5,294.0,110.25,7.0,4,0.25,5,24.431,34.03
0.76,661.5,416.5,122.5,7.0,4,0.25,5,39.953,37.55
0.74,808.5,367.5,220.5,3.5,3,0.25,2,12.238,15.05
0.74,686.0,245.0,220.5,3.5,3,0.4,5,14.241,15.68
0.98,514.5,294.0,110.25,7.0,5,0.1,4,24.607,26.15
0.66,759.5,318.5,220.5,3.5,2,0.4,4,14.963,15.53
0.79,637.0,343.0,147.0,7.0,2,0.1,3,36.969,39.04
0.74,686.0,245.0,220.5,3.5,2,0.4,1,14.488,16.95
0.64,784.0,343.0,220.5,3.5,3,0.4,2,18.334,19.28
0.69,735.0,294.0,220.5,3.5,4,0.25,1,10.998,15.57
0.66,759.5,318.5,220.5,3.5,4,0.1,5,15.301,15.83
0.69,735.0,294.0,220.5,3.5,3,0.1,5,12.462,15.51
0.76,661.5,416.5,122.5,7.0,3,0.25,2,36.862,42.95
0.79,637.0,343.0,147.0,7.0,2,0.4,3,39.084,41.5
0.66,759.5,318.5,220.5,3.5,5,0.4,3,11.436,14.67
0.64,784.0,343.0,220.5,3.5,2,0.25,5,15.533,16.73
0.76,661.5,416.5,122.5,7.0,4,0.1,3,40.228,37.32
0.98,514.5,294.0,110.25,7.0,3,0.4,5,28.562,32.86
0.98,514.5,294.0,110.25,7.0,3,0.1,1,24.568,34.01
0.82,612.5,318.5,147.0,7.0,2,0.4,4,25.843,27.26
0.86,759.5,343.0,220.5,3.5,5,0.1,3,15.165,17.78
0.64,784.0,343.0,220.5,3.5,3,0.0,0,17.005,11.87
0.74,686.0,245.0,220.5,3.5,4,0.1,4,10.428,13.38
0.98,514.5,294.0,110.25,7.0,5,0.25,5,32.273,26.07
0.76,661.5,416.5,122.5,7.0,2,0.4,5,32.336,37.01
0.9,661.5,416.5,122.5,7.0,5,0.4,5,34.395,22.55
0.74,686.0,245.0,220.5,3.5,5,0.1,2,14.456,13.55
0.98,514.5,294.0,110.25,7.0,3,0.1,4,33.071,25.87
0.66,759.5,318.5,220.5,3.5,4,0.25,5,15.254,18.18
0.74,686.0,245.0,220.5,3.5,2,0.25,5,14.288,12.08
0.9,563.5,318.5,122.5,7.0,2,0.4,5,24.072,27.85
0.9,563.5,318.5,122.5,7.0,3,0.1,4,32.337,29.41
0.71,710.5,269.5,220.5,3.5,2,0.1,2,10.795,14.21
0.76,661.5,416.5,122.5,7.0,4,0.1,1,35.572,34.15
0.98,514.5,294.0,110.25,7.0,4,0.4,5,24.547,30.47
0.79,637.0,343.0,147.0,7.0,2,0.1,2,38.233,38.96
0.62,808.5,367.5,220.5,3.5,5,0.1,4,14.713,15.16
0.74,686.0,245.0,220.5,3.5,4,0.1,2,14.447,13.43
0.62,588.0,367.5,220.5,3.5,5,0.4,3,16.916,17.1
0.71,710.5,367.5,220.5,3.5,5,0.4,3,12.444,15.36
0.9,514.5,294.0,110.25,7.0,5,0.25,2,32.929,32.84
0.74,686.0,294.0,220.5,3.5,4,0.25,2,14.495,16.96
0.69,735.0,294.0,220.5,3.5,3,0.25,1,14.681,16.7
0.64,784.0,343.0,220.5,3.5,3,0.1,2,17.121,19.37
0.64,784.0,343.0,220.5,3.5,3,0.25,3,14.709,20.37
0.98,514.5,294.0,110.25,7.0,5,0.1,3,33.069,29.69
0.71,710.5,269.5,220.5,3.5,2,0.25,4,12.22,16.16
0.69,735.0,294.0,220.5,3.5,3,0.0,0,6.411,12.69
0.64,784.0,343.0,220.5,3.5,5,0.25,2,15.19,16.78
0.82,612.5,318.5,147.0,7.0,2,0.1,3,24.063,29.94
0.76,661.5,416.5,122.5,7.0,3,0.25,2,35.73,37.37
0.74,686.0,245.0,220.5,3.5,4,0.25,4,14.504,13.6
0.9,514.5,294.0,110.25,7.0,5,0.25,5,14.347,29.61
0.98,514.5,294.0,110.25,7.0,5,0.1,5,28.617,33.51
0.79,637.0,343.0,147.0,7.0,4,0.4,2,40.851,36.83
0.66,759.5,318.5,220.5,3.5,3,0.1,2,11.643,14.83
0.74,686.0,245.0,220.5,3.5,2,0.25,4,10.381,16.92
0.9,563.5,318.5,122.5,7.0,3,0.4,1,36.85,36.9
0.9,563.5,318.5,122.5,7.0,3,0.4,5,32.004,36.34
0.76,661.5,416.5,122.5,7.0,2,0.0,0,7.449,12.68
0.69,735.0,294.0,220.5,3.5,5,0.25,4,11.185,15.16
0.9,563.5,318.5,122.5,7.0,5,0.4,5,32.436,33.32
0.82,612.5,318.5,147.0,7.0,4,0.25,3,23.15,28.53
0.69,735.0,294.0,220.5,3.5,5,0.1,1,14.348,17.22
0.71,710.5,269.5,220.5,3.5,3,0.4,2,14.001,14.2
0.69,735.0,294.0,220.5,3.5,3,0.1,1,12.452,14.29
0.64,784.0,343.0,220.5,3.5,3,0.1,4,15.198,19.26
0.62,808.5,367.5,220.5,3.5,4,0.4,2,13.028,14.86
0.64,784.0,343.0,220.5,3.5,2,0.1,1,15.175,20.5
0.76,661.5,416.5,122.5,7.0,2,0.25,5,31.844,37.82
0.79,637.0,343.0,147.0,7.0,4,0.1,2,39.702,34.32
0.9,563.5,318.5,122.5,7.0,5,0.1,2,29.702,25.45
0.79,612.5,318.5,147.0,7.0,4,0.25,5,37.934,28.15
0.64,784.0,343.0,220.5,3.5,5,0.1,5,15.162,20.22
0.74,686.0,245.0,220.5,3.5,5,0.1,3,10.471,13.36
0.82,612.5,318.5,147.0,7.0,4,0.4,4,23.441,28.94
0.98,514.5,294.0,110.25,7.0,3,0.1,5,32.64,26.04
0.76,661.5,416.5,122.5,7.0,3,0.1,5,33.245,39.82
0.62,808.5,367.5,220.5,3.5,3,0.1,2,12.995,14.15
0.9,563.5,318.5,122.5,7.0,2,0.25,1,35.802,35.59
0.64,784.0,343.0,220.5,3.5,5,0.25,4,18.958,19.37
0.86,588.0,294.0,147.0,7.0,3,0.1,3,23.108,26.45
0.66,759.5,318.5,220.5,3.5,4,0.1,5,11.903,18.05
0.82,612.5,318.5,147.0,7.0,5,0.4,3,29.338,31.54
0.69,735.0,294.0,220.5,3.5,2,0.4,3,11.044,16.97
0.76,661.5,416.5,122.5,7.0,4,0.25,4,40.134,37.5
0.79,637.0,343.0,147.0,7.0,4,0.1,4,36.742,42.66
0.79,637.0,343.0,147.0,7.0,5,0.1,3,41.263,36.48
0.86,588.0,294.0,147.0,7.0,3,0.4,5,32.032,32.16
0.76,661.5,416.5,122.5,7.0,5,0.25,5,32.318,33.69
0.69,735.0,294.0,220.5,3.5,2,0.1,5,11.099,14.47
0.62,808.5,416.5,220.5,3.5,4,0.4,3,12.879,15.22
0.74,686.0,245.0,220.5,3.5,4,0.1,2,14.455,16.99
0.64,784.0,343.0,220.5,3.5,4,0.4,2,15.209,19.23
0.9,563.5,318.5,122.5,7.0,4,0.25,3,28.706,29.71
0.74,686.0,245.0,220.5,3.5,4,0.1,2,14.472,13.06
0.64,784.0,343.0,220.5,3.5,2,0.25,2,15.544,14.41
0.76,661.5,416.5,122.5,7.0,3,0.25,4,31.803,37.28
0.82,563.5,318.5,220.5,3.5,2,0.1,2,28.609,20.77
0.98,514.5,294.0,110.25,7.0,5,0.4,1,32.73,25.89
0.76,661.5,416.5,122.5,7.0,3,0.1,3,33.085,30.07
0.62,808.5,367.5,220.5,3.5,3,0.25,4,14.708,15.22
0.76,661.5,416.5,122.5,7.0,3,0.1,4,36.531,36.36
0.86,588.0,294.0,147.0,7.0,3,0.4,4,26.25,28.66
0.71,710.5,269.5,220.5,3.5,5,0.4,1,10.844,15.66
0.79,637.0,343.0,147.0,7.0,2,0.4,1,41.387,45.54
0.86,588.0,294.0,147.0,7.0,5,0.1,3,29.523,27.28
0.9,759.5,318.5,122.5,3.5,4,0.1,4,7.258,34.59
0.9,563.5,318.5,122.5,7.0,4,0.1,1,35.751,25.43
0.62,808.5,367.5,220.5,3.5,5,0.1,1,17.144,14.33
0.66,759.5,318.5,220.5,3.5,4,0.4,5,14.778,15.3
0.62,808.5,367.5,220.5,3.5,2,0.25,1,16.781,15.33
0.82,612.5,318.5,147.0,7.0,3,0.25,2,33.101,28.37
0.86,588.0,294.0,147.0,7.0,5,0.25,4,32.733,31.88
0.82,612.5,318.5,147.0,7.0,5,0.25,4,28.299,24.91
0.71,710.5,269.5,220.5,3.5,5,0.25,3,14.531,14.86
0.71,710.5,269.5,220.5,3.5,3,0.4,4,14.614,17.06
0.66,759.5,318.5,220.5,3.5,3,0.25,4,13.038,17.58
0.62,808.5,367.5,220.5,3.5,3,0.25,4,15.718,21.56
0.74,686.0,245.0,220.5,3.5,5,0.4,5,14.302,16.8
0.9,686.0,318.5,122.5,7.0,5,0.1,2,28.854,34.95
0.9,563.5,318.5,122.5,7.0,5,0.0,2,28.781,29.46
0.64,784.0,343.0,220.5,3.5,2,0.25,2,15.211,20.0
0.79,637.0,343.0,147.0,7.0,3,0.1,3,41.422,38.96
0.66,759.5,318.5,220.5,3.5,5,0.1,3,15.222,14.75
0.76,588.0,416.5,122.5,7.0,3,0.25,2,38.959,37.26
0.98,514.5,294.0,110.25,7.0,5,0.25,2,24.429,30.58
0.86,588.0,294.0,147.0,7.0,2,0.25,4,26.758,26.38
0.98,514.5,294.0,110.25,7.0,5,0.25,3,28.636,29.54
0.79,637.0,343.0,147.0,7.0,2,0.25,4,38.15,44.19
0.64,784.0,343.0,220.5,3.5,2,0.1,3,19.489,23.74
0.98,514.5,294.0,110.25,7.0,2,0.25,5,24.274,34.05
0.82,612.5,318.5,147.0,7.0,4,0.1,3,23.201,26.62
0.98,514.5,294.0,110.25,7.0,2,0.1,3,24.069,29.65
0.86,588.0,294.0,147.0,7.0,2,0.25,1,24.823,31.12
0.71,710.5,269.5,220.5,3.5,5,0.1,5,10.437,13.84
0.79,612.5,318.5,147.0,7.0,3,0.0,3,22.946,26.98
